record_id,id,group,year,pre_3,ws_1,hl_1,paper_1,post_1_o1,post_1_o2,post_1_o3,post_1_o4,post_21_opt1,post_21_opt2,post_21_opt3,post_21_opt4,post_22_opt1,post_22_opt2,post_22_opt3,post_22_opt4,post_23_opt1,post_23_opt2,post_23_opt3,post_23_opt4,hololens2017_complete
1,1,1,1,2,2,4,5,4,3,1,2,4,3,1,2,4,3,1,2,4,3,2,1,2
2,2,1,1,1,3,4,5,4,3,1,2,4,1,2,3,4,3,2,1,4,2,1,3,2
3,3,1,1,3,5,6,5,4,1,2,3,2,4,1,3,3,1,4,2,4,3,1,2,2
4,4,1,1,2,4,4,4,1,3,2,4,1,2,3,4,1,3,2,4,1,3,2,4,2
5,5,1,1,2,4,7,5,4,2,3,1,3,2,4,1,3,2,4,1,3,2,4,1,2
6,6,1,1,2,6,8,9,4,2,3,1,4,2,3,1,4,2,3,1,4,2,3,1,2
7,7,1,1,3,3,2,3,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4,2
8,8,1,1,2,4,5,6,,,,,,,,,,,,,,,,,2
9,9,1,1,1,2,8,9,4,2,3,1,4,1,3,2,4,2,3,1,4,3,2,1,2
10,10,1,1,2,8,8,,4,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,2
11,11,1,,2,2,3,,4,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,2
12,12,1,1,1,5,5,7,4,2,1,3,4,1,2,3,4,2,1,3,4,2,1,3,2
13,13,1,1,1,3,4,4,4,2,3,1,4,3,2,1,4,2,3,1,4,3,1,2,2
14,14,1,1,1,2,4,2,4,2,3,1,,,,,,,,,,,,,2
15,15,1,1,2,3,4,3,4,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,2
16,,,,,,,,,,,,,,,,,,,,,,,,2
17,17,2,1,5,5,6,6,2,1,3,4,2,3,1,4,3,2,4,1,4,3,2,1,2
18,18,2,1,2,1,3,2,3,4,2,1,3,4,2,1,3,4,2,1,3,4,1,2,2
19,19,2,1,2,3,4,4,4,3,1,2,,,,,,,,,,,,,2
20,20,2,1,4,2,4,6,2,3,1,4,1,3,2,4,1,3,2,4,1,3,2,4,2
21,21,2,1,5,5,7,8,4,2,1,3,4,2,1,3,4,1,3,2,4,2,1,3,2
22,22,2,1,2,6,8,8,,,,,4,3,1,2,4,1,3,2,4,1,3,2,2
23,23,2,1,2,4,5,4,4,2,3,1,4,2,3,1,4,2,3,1,4,2,3,1,2
24,24,2,1,7,7,7,7,3,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,2
25,25,2,1,2,4,9,6,4,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,2
26,26,2,1,1,6,7,3,4,1,3,2,,,,,,,,,,,,,2
27,27,2,1,5,5,6,8,4,3,1,2,4,2,3,1,4,2,3,1,4,1,3,2,2
28,28,2,1,3,6,,6,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4,2
29,29,2,1,2,3,8,5,4,2,3,1,4,2,3,1,4,2,3,1,4,2,3,1,2
30,30,2,1,1,2,3,1,4,2,3,1,4,3,2,1,4,2,3,1,4,1,3,2,2
31,31,2,1,1,3,6,4,3,2,4,1,2,3,1,4,2,3,1,4,1,4,2,3,2
32,32,2,2,2,4,7,,,,,,,,,,,,,,,,,,2
33,33,2,2,1,7,8,5,3,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,2
34,34,2,2,2,3,8,5,4,2,3,1,4,2,3,1,4,2,3,1,4,2,3,1,2
35,35,2,2,2,7,8,7,4,1,3,2,3,1,4,2,3,2,4,1,3,1,4,2,2
36,36,2,2,1,2,4,1,2,3,4,1,,,,,,,,,,,,,2
37,37,2,2,1,2,3,2,3,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,2
38,38,2,2,2,4,4,3,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,2
39,39,2,2,2,6,8,6,4,2,3,1,4,3,2,1,4,2,3,1,4,2,3,1,2
40,40,2,2,1,3,7,2,4,2,3,1,4,2,3,1,3,2,4,1,4,2,3,1,2
41,41,2,2,3,3,6,4,4,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,2
42,42,1,2,2,5,7,8,4,3,1,2,4,3,1,2,4,3,1,2,4,3,2,1,2
43,43,1,2,2,6,8,7,,,,,3,2,4,1,3,2,4,1,3,2,4,1,2
44,44,1,2,2,5,7,3,3,2,4,1,3,2,4,1,3,2,4,1,3,2,4,1,2
45,45,1,2,2,4,7,7,,,,,4,2,3,1,4,2,3,1,4,2,3,1,2
46,46,1,2,1,4,6,7,4,3,2,1,4,3,2,1,4,3,2,1,4,,,2,2
47,47,1,2,1,4,6,7,4,1,3,2,4,1,3,2,4,2,3,1,4,1,3,2,2
48,48,1,2,1,3,7,8,,,,,4,3,2,1,4,2,3,1,4,3,1,2,2
49,49,1,2,2,3,7,7,,,,,4,3,2,1,4,3,2,1,4,3,2,1,2
50,50,1,2,4,7,8,5,2,1,4,3,3,1,4,2,2,1,4,3,3,1,4,2,2
51,51,1,2,1,3,3,,,,,,,,,,,,,,,,,,2
52,52,1,2,1,2,7,5,,,,,4,3,2,1,4,3,2,1,4,3,2,1,2
53,53,1,2,2,4,8,7,4,3,2,1,3,4,1,2,4,1,3,2,4,3,1,2,2
